,MisconceptionName,LLM_Response,MisconceptionId
4069,"In a worded problem, does not complete all calculations","Question Text: Here is a number card

 \( \frac{1}{3} \) of \( \mathrm{A} \) is \( 12 \)

 What is \( \frac{1}{2} \) of \( A \) ?
 ![\( A \)]() 
Correct Answer Text: \( 18 \) 
Wrong Answer Text: \( 36 \)",791
4070,Divides by 1000 instead of 100 when converting a percentage to a decimal,"Question Text: Tom and Katie are arguing about percentages.
Tom says \( 45 \%>0.059 \)
Katie says \( 45 \%>\frac{16}{31} \)
Who is correct? 
Correct Answer Text: Only
Tom 
Wrong Answer Text: Neither is correct",1622
4071,Thinks they double rather than halve when finding the area of a triangle,"Question Text: What is the area of the triangle? ![Triangle with base the square root of 144 cm and height 6cm.]() 
Correct Answer Text: \( 36 \mathrm{~cm}^{2} \) 
Wrong Answer Text: \( 144 \mathrm{~cm}^{2} \)",808
4072,Does not have when calculating the area of a triangle,"Question Text: What is the area of the triangle? ![Triangle with base the square root of 144 cm and height 6cm.]() 
Correct Answer Text: \( 36 \mathrm{~cm}^{2} \) 
Wrong Answer Text: \( 72 \mathrm{~cm}^{2} \)",653
4073,Assumes a fact without considering enough examples,"Question Text: Jo and Paul are arguing about powers.

Jo says there is no value of \( m \) that means \( 3^{m} \) is even.

Paul says there is no value of \( n \) that means \( 4^{n} \) ends in \( 0 \).
Who is correct? 
Correct Answer Text: Both Jo and Paul 
Wrong Answer Text: Only
Jo",557
4074,Assumes a fact without considering enough examples,"Question Text: Jo and Paul are arguing about powers.

Jo says there is no value of \( m \) that means \( 3^{m} \) is even.

Paul says there is no value of \( n \) that means \( 4^{n} \) ends in \( 0 \).
Who is correct? 
Correct Answer Text: Both Jo and Paul 
Wrong Answer Text: Only
Paul",557
4075,Assumes a fact without considering enough examples,"Question Text: Jo and Paul are arguing about powers.

Jo says there is no value of \( m \) that means \( 3^{m} \) is even.

Paul says there is no value of \( n \) that means \( 4^{n} \) ends in \( 0 \).
Who is correct? 
Correct Answer Text: Both Jo and Paul 
Wrong Answer Text: Neither is correct",557
4076,Thinks terms in linear sequence are in direct proportion,"Question Text: Lethna pays at one rate for the first \( 100 \) units of electricity she uses. She pays at a different rate for all the other units of electricity she uses.

How much must she pay for using a total of \( 800 \) units of electricity? ![A graph showing how the cost changes for different numbers of units. The first 100 units cost £0.25 per unit. Then the rate changes to £0.10 per unit.]() 
Correct Answer Text: \( £ 95 \) 
Wrong Answer Text: \( £ 110 \)",1582
4077,Only considers the positive solution when calculating a square root,"Question Text: A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d+3)^{2}-25=0
\)

Step \( 1 \)
\(
(d+3)^{2}=25
\) 
Correct Answer Text: \( d+3= \pm 5 \) 
Wrong Answer Text: \( d+3=5 \)",132
4078,Believes the inverse of square rooting is halving,"Question Text: A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d+3)^{2}-25=0
\)

Step \( 1 \)
\(
(d+3)^{2}=25
\) 
Correct Answer Text: \( d+3= \pm 5 \) 
Wrong Answer Text: \( d+3=12.5 \)",2539
4079,Believes you can subtract from inside brackets without expanding when solving an equation,"Question Text: A student wishes to solve the equation below.

Which of the following is a correct next step?
\(
(d+3)^{2}-25=0
\)

Step \( 1 \)
\(
(d+3)^{2}=25
\) 
Correct Answer Text: \( d+3= \pm 5 \) 
Wrong Answer Text: \( d^{2}=22 \)",969
4080,Misremembers the quadratic formula,"Question Text: Mo wants to solve this equation using the quadratic formula.
\(
5 h^{2}-3 h-2=0
\)

What should replace the star? \(  \bigstar  \pm \sqrt{ ? - ?  } \) 
Correct Answer Text: \( 3 \) 
Wrong Answer Text: \( 2 \)",1044
4081,Does not understand that an obtuse angle is between 90 and 180 degrees,"Question Text: An exam question asks students to estimate the size of the bearing on the right
Tom writes his answer as: \( 110\degree\)
Katie writes her answer as: \( 190\degree\)

Who would get all the marks for this question in the exam? ![An obtuse angle drawn in a clockwise direction from a vertical north line.]() 
Correct Answer Text: Only Tom 
Wrong Answer Text: Only Katie",599
4082,Does not understand that an obtuse angle is between 90 and 180 degrees,"Question Text: An exam question asks students to estimate the size of the bearing on the right
Tom writes his answer as: \( 110\degree\)
Katie writes her answer as: \( 190\degree\)

Who would get all the marks for this question in the exam? ![An obtuse angle drawn in a clockwise direction from a vertical north line.]() 
Correct Answer Text: Only Tom 
Wrong Answer Text: Both Tom and Katie",599
4083,Does not understand that an obtuse angle is between 90 and 180 degrees,"Question Text: An exam question asks students to estimate the size of the bearing on the right
Tom writes his answer as: \( 110\degree\)
Katie writes her answer as: \( 190\degree\)

Who would get all the marks for this question in the exam? ![An obtuse angle drawn in a clockwise direction from a vertical north line.]() 
Correct Answer Text: Only Tom 
Wrong Answer Text: Neither is correct",599
4084,Rounds down instead of up when next digit is 5,"Question Text: Tom and Katie are arguing about rounding.

Tom says \( \mathbf{6 0 5 . 7 6} \) rounded to \( 1 \) significant figure is \( \mathbf{6 0 0} \)

Katie says \( \mathbf{6 0 5 . 7 6} \) rounded to \( 2 \) significant figures is \( \mathbf{6 0 0} \)

Who is correct? 
Correct Answer Text: Only Tom 
Wrong Answer Text: Both Tom and Katie",1402
4085,Does not understand place value within a number,"Question Text: \( 0.15 \times 0.2= \) 
Correct Answer Text: \( 0.03 \) 
Wrong Answer Text: \( 3 \)",1708
4086,Does not understand place value within a number,"Question Text: \( 0.15 \times 0.2= \) 
Correct Answer Text: \( 0.03 \) 
Wrong Answer Text: \( 0.3 \)",1708
4087,Does not understand place value within a number,"Question Text: \( 0.15 \times 0.2= \) 
Correct Answer Text: \( 0.03 \) 
Wrong Answer Text: \( 0.003 \)",1708
4088,Mixes up greater than and less than symbols,"Question Text: Which of the following diagrams represents \( x \leq 1 \) ? 
Correct Answer Text: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is a filled in circle above 1, with an arrow pointing to the right coming off it.]() 
Wrong Answer Text: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is a filled in circle above 1, with an arrow pointing to the right coming off it.]()",1880
4089,"When representing an inequality on a numberline, assumes the filled and unfilled circles have the opposite meaning.","Question Text: Which of the following diagrams represents \( x \leq 1 \) ? 
Correct Answer Text: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is a filled in circle above 1, with an arrow pointing to the right coming off it.]() 
Wrong Answer Text: ![A number line with integers from -5 to 5 marked on, with x as the axis label. There is an empty circle above 1, with an arrow pointing to the left coming off it.]()",550
4090,"When solving a problem that requires an inverse operation (e.g. missing number problems), does the original operation","Question Text: What number belongs in the box to make the calculation correct? \( 263+\square=900 \) 
Correct Answer Text: \( 637 \) 
Wrong Answer Text: \( 1163 \)",2271
4091,Treats zero as a ten when subtracting,"Question Text: What number belongs in the box to make the calculation correct? \( 263+\square=900 \) 
Correct Answer Text: \( 637 \) 
Wrong Answer Text: \( 747 \)",467
4092,Believes all triangles have a right angle,"Question Text: What is the size of angle \( k \) ? ![A triangle with one angle of 40 degrees. One angle of 32 degrees and the third angle is labelled k. ]() 
Correct Answer Text: \( 108\degree\) 
Wrong Answer Text: \( 90\degree\)",1192
4093,"When “borrowing” during a subtraction problem, does not subtract one from the preceding digit","Question Text: What is the size of angle \( k \) ? ![A triangle with one angle of 40 degrees. One angle of 32 degrees and the third angle is labelled k. ]() 
Correct Answer Text: \( 108\degree\) 
Wrong Answer Text: \( 118\degree\)",699
4094,Does not know how to identify common factors from algebraic terms,"Question Text: Tom and Katie are discussing factors

Tom says \( 4 \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Katie says \( y \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Who is correct? 
Correct Answer Text: Neither is correct 
Wrong Answer Text: Only
Tom",1554
4095,Does not know how to identify common factors from algebraic terms,"Question Text: Tom and Katie are discussing factors

Tom says \( 4 \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Katie says \( y \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Who is correct? 
Correct Answer Text: Neither is correct 
Wrong Answer Text: Only
Katie",1554
4096,Does not know how to identify common factors from algebraic terms,"Question Text: Tom and Katie are discussing factors

Tom says \( 4 \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Katie says \( y \) is a common factor of \( 6 x \) and \( 9 y^{2} \)

Who is correct? 
Correct Answer Text: Neither is correct 
Wrong Answer Text: Both Tom and Katie",1554
4097,Believes only the first term needs to be divided when factorising an expression,"Question Text: When factorised, \( 9 x^{2}-16 \) will become... 
Correct Answer Text: \( (3 x+4)(3 x-4) \) 
Wrong Answer Text: \( 9 x(x-16) \)",2549
4098,Believes only the first term needs to be divided when factorising an expression,"Question Text: When factorised, \( 9 x^{2}-16 \) will become... 
Correct Answer Text: \( (3 x+4)(3 x-4) \) 
Wrong Answer Text: \( 3 x(3 x-16-) \)",2549
4099,Factorises difference of two squares with the same sign in both brackets,"Question Text: When factorised, \( 9 x^{2}-16 \) will become... 
Correct Answer Text: \( (3 x+4)(3 x-4) \) 
Wrong Answer Text: \( (3 x+4)(3 x+4) \)",547
4100,"When dividing a decimal by a whole number, ignores decimal point and just divides the digits","Question Text: \( \frac{(-3) \times(-2)}{(-0.2)}= \) 
Correct Answer Text: \( -30 \) 
Wrong Answer Text: \( -3 \)",1619
4101,Believes dividing a positive by a negative gives a positive answer,"Question Text: \( \frac{(-3) \times(-2)}{(-0.2)}= \) 
Correct Answer Text: \( -30 \) 
Wrong Answer Text: \( 30 \)",1558
4102,Believes multiplying two negatives gives a negative answer,"Question Text: Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]() 
Correct Answer Text: \( +4 \) 
Wrong Answer Text: \( -4 \)",1597
4103,Adds instead of multiplying when expanding bracket,"Question Text: Molly is expanding these two brackets.

What should she get when she multiplies the two terms indicated by the arrows? ![The brackets shown are (2p-1)(3p-4). The arrows are pointing at the -1 in the first bracket and the -4 in the second bracket.]() 
Correct Answer Text: \( +4 \) 
Wrong Answer Text: \( -5 \)",2143
4104,Incorrectly identifies angles as vertically opposite,"Question Text: What is the size of angle \( w \) ? ![An isosceles triangle with one of the base angles labelled with a w and the angle vertically opposite the vertex angle labelled with 27 degrees]() 
Correct Answer Text: \( 76.5^{\degree} \) 
Wrong Answer Text: \( 27^{\degree} \)",415
4105,Does not know that vertically opposite angles are equal,"Question Text: What is the size of angle \( w \) ? ![An isosceles triangle with one of the base angles labelled with a w and the angle vertically opposite the vertex angle labelled with 27 degrees]() 
Correct Answer Text: \( 76.5^{\degree} \) 
Wrong Answer Text: \( 54^{\degree} \)",1791
4106,Rounds down instead of up,"Question Text: What is \( \mathbf{1 8 7 . 2 5 9} \) rounded to two significant figures? 
Correct Answer Text: \( 190 \) 
Wrong Answer Text: \( 180 \)",1379
4107,Rounds to wrong degree of accuracy (decimal places rather than significant figures),"Question Text: What is \( \mathbf{1 8 7 . 2 5 9} \) rounded to two significant figures? 
Correct Answer Text: \( 190 \) 
Wrong Answer Text: \( 187.26 \)",739
4108,"When multiplying a surd by an integer, adds the integer to the number under the surd","Question Text: \(9 \times \sqrt{3}\)

Simplify, if possible. 
Correct Answer Text: \( 9 \sqrt{3} \) 
Wrong Answer Text: \( \sqrt{12} \)",19
4109,"When multiplying a surd by an integer, multiplies the integer with the number under the surd","Question Text: \(9 \times \sqrt{3}\)

Simplify, if possible. 
Correct Answer Text: \( 9 \sqrt{3} \) 
Wrong Answer Text: \( \sqrt{27} \)",2082
4110,Does not recognise that an integer multiplied by a surd can be simplified,"Question Text: \(9 \times \sqrt{3}\)

Simplify, if possible. 
Correct Answer Text: \( 9 \sqrt{3} \) 
Wrong Answer Text: Cannot be simplified",754
4111,Believes they only need to multiply the first and last pairs of terms when expanding double brackets,"Question Text: Expand and simplify:
\(
(3 y-4)^{2}
\) 
Correct Answer Text: \( 9 y^{2}-24 y+16 \) 
Wrong Answer Text: \( 9 y^{2}-16 \)",1872
4112,Believes they only need to multiply the first and last pairs of terms when expanding double brackets,"Question Text: Expand and simplify:
\(
(3 y-4)^{2}
\) 
Correct Answer Text: \( 9 y^{2}-24 y+16 \) 
Wrong Answer Text: \( 9 y^{2}+16 \)",1872
4113,Believes expanding a squared expression means writing it as a set of double brackets,"Question Text: Expand and simplify:
\(
(3 y-4)^{2}
\) 
Correct Answer Text: \( 9 y^{2}-24 y+16 \) 
Wrong Answer Text: \( (3 y-4)(3 y-4) \)",894
4114,Does not correctly apply the commutative property of multiplication,"Question Text: Tom and Katie are discussing multiplying decimals.

Tom says \( 5 \times 3.9=3 \times 5.9 \)

Katie says \( 5 \times 3.9=3.9 \times 5 \)

Who is correct? 
Correct Answer Text: Only Katie 
Wrong Answer Text: Only Tom",2051
4115,Does not correctly apply the commutative property of multiplication,"Question Text: Tom and Katie are discussing multiplying decimals.

Tom says \( 5 \times 3.9=3 \times 5.9 \)

Katie says \( 5 \times 3.9=3.9 \times 5 \)

Who is correct? 
Correct Answer Text: Only Katie 
Wrong Answer Text: Both Tom and Katie",2051
4116,Believes multiplication is not commutative,"Question Text: Tom and Katie are discussing multiplying decimals.

Tom says \( 5 \times 3.9=3 \times 5.9 \)

Katie says \( 5 \times 3.9=3.9 \times 5 \)

Who is correct? 
Correct Answer Text: Only Katie 
Wrong Answer Text: Neither is correct",638
4117,Confuses isosceles and right angle triangles,"Question Text: Which description describes an isosceles triangle? 
Correct Answer Text: A triangle with two sides of equal length and two equal angles. 
Wrong Answer Text: A triangle with one right angle.",1970
4118,Confuses isosceles and equilateral triangles,"Question Text: Which description describes an isosceles triangle? 
Correct Answer Text: A triangle with two sides of equal length and two equal angles. 
Wrong Answer Text: A triangle with three sides of equal length and three equal angles.",1176
4119,Confuses isosceles and scalene triangles,"Question Text: Which description describes an isosceles triangle? 
Correct Answer Text: A triangle with two sides of equal length and two equal angles. 
Wrong Answer Text: A triangle with no sides of equal length and no equal angles.",2423
4120,Does not think a factorised expression is equivalent to its multiplied out form,"Question Text: Tom and Katie are arguing about the result of this Function Machine:
Tom says the output is: \( 3 n-12 \)
Katie says the output is: \( 3(n-4) \)
Who is correct? ![A function machine with input n and operations subtract 4, multiply by 3]() 
Correct Answer Text: Both Tom and Katie 
Wrong Answer Text: Only Tom",102
4121,Does not think a factorised expression is equivalent to its multiplied out form,"Question Text: Tom and Katie are arguing about the result of this Function Machine:
Tom says the output is: \( 3 n-12 \)
Katie says the output is: \( 3(n-4) \)
Who is correct? ![A function machine with input n and operations subtract 4, multiply by 3]() 
Correct Answer Text: Both Tom and Katie 
Wrong Answer Text: Only
Katie",102
4122,Uses only the first two terms of a sequence to work out a term-to-term rule,"Question Text: Which of the following term-to-term rule describes this sequence?
\[
4, \quad 10, \quad 28, \quad 82, \quad \ldots
\] 
Correct Answer Text: To get the next term you multiply the previous term by \( 3 \) and subtract \( 2 \) 
Wrong Answer Text: To get the next term you add \( 6 \) to the previous term",108
4123,Uses only the first two terms of a sequence to work out a term-to-term rule,"Question Text: Which of the following term-to-term rule describes this sequence?
\[
4, \quad 10, \quad 28, \quad 82, \quad \ldots
\] 
Correct Answer Text: To get the next term you multiply the previous term by \( 3 \) and subtract \( 2 \) 
Wrong Answer Text: To get the next term you double the previous term and add \( 2 \)",108
4124,Rounds to the wrong degree of accuracy (rounds too much),"Question Text: Round this number to \( 1 \) significant figure:
\( 0.00809 \) 
Correct Answer Text: \( 0.008 \) 
Wrong Answer Text: \( 0.01 \)",2392
4125,Counts leading zero as a significant figure,"Question Text: Round this number to \( 1 \) significant figure:
\( 0.00809 \) 
Correct Answer Text: \( 0.008 \) 
Wrong Answer Text: \( 0 \)",1876
4126,Rounds up instead of down,"Question Text: Round this number to \( 1 \) significant figure:
\( 0.00809 \) 
Correct Answer Text: \( 0.008 \) 
Wrong Answer Text: \( 0.009 \)",1988
4127,Does not recognise factorising a quadratic,"Question Text: Simplify the following, if possible: \( \frac{m^{2}-2 m-3}{m-3} \) 
Correct Answer Text: \( m+1 \) 
Wrong Answer Text: Does not simplify",167
4128,Uses dividing fractions method for multiplying fractions,"Question Text: What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\) 
Correct Answer Text: \( \frac{8}{6} \) 
Wrong Answer Text: \( \frac{6}{8} \)",1
4129,Believes multiplying two negatives gives a negative answer,"Question Text: What should replace the star?

\(
(-6) \times \color{gold}\bigstar \color{black} =-8
\) 
Correct Answer Text: \( \frac{8}{6} \) 
Wrong Answer Text: \( -\frac{8}{6} \)",1597
4130,Has confused cube numbers with prime numbers,"Question Text: What is the first cube number greater than \( 40 \) ? 
Correct Answer Text: \( 64 \) 
Wrong Answer Text: \( 43 \)",183
4131,Mixes up square numbers and cube numbers,"Question Text: What is the first cube number greater than \( 40 \) ? 
Correct Answer Text: \( 64 \) 
Wrong Answer Text: \( 49 \)",2576
4132,Does not equate the value of a number with the place value column it is in,"Question Text: Tom and Katie are discussing how to order integers

Tom says \( 5000 \) is greater than \( 4987 \)

Katie says \( 3050 \) is greater than \( 3500 \)

Who is correct? 
Correct Answer Text: Only Tom 
Wrong Answer Text: Only Katie",2375
4133,Does not equate the value of a number with the place value column it is in,"Question Text: Tom and Katie are discussing how to order integers

Tom says \( 5000 \) is greater than \( 4987 \)

Katie says \( 3050 \) is greater than \( 3500 \)

Who is correct? 
Correct Answer Text: Only Tom 
Wrong Answer Text: Both Tom and Katie",2375
4134,"When ordering integers, orders from the digits at the end of the number instead of the digits at the start","Question Text: Tom and Katie are discussing how to order integers

Tom says \( 5000 \) is greater than \( 4987 \)

Katie says \( 3050 \) is greater than \( 3500 \)

Who is correct? 
Correct Answer Text: Only Tom 
Wrong Answer Text: Neither is correct",1365
4135,Does not know the properties of a linear graph,"Question Text: Use a graphing program (e.g. Desmos) to plot the following pairs of functions.
\[
y=x^{2} - 4 \quad \text { and } \quad y=x-4
\]

Tom says both functions are linear

Katie says both functions cross the \( y \)-axis at the same point

Who is correct? 
Correct Answer Text: Only Katie 
Wrong Answer Text: Both Tom and Katie",2511
4136,Believes the constant only gives the y-intercept for linear graphs,"Question Text: Use a graphing program (e.g. Desmos) to plot the following pairs of functions.
\[
y=x^{2} - 4 \quad \text { and } \quad y=x-4
\]

Tom says both functions are linear

Katie says both functions cross the \( y \)-axis at the same point

Who is correct? 
Correct Answer Text: Only Katie 
Wrong Answer Text: Neither is correct",780
4137,Believes an interior angle in a regular polygon can be found using 180(n+2)/n,"Question Text: Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 18 \) sided shape Tom says you can do \( \frac{20 \times 180}{18} \) Katie says you can do \( 360-\frac{180}{18} \) Who is correct? 
Correct Answer Text: Neither is correct 
Wrong Answer Text: Only
Tom",654
4138,Believes an interior angle in a regular polygon can be found using 360 subtract (180 over number of sides),"Question Text: Tom and Katie are discussing how to calculate the size of each interior angle in a regular \( 18 \) sided shape Tom says you can do \( \frac{20 \times 180}{18} \) Katie says you can do \( 360-\frac{180}{18} \) Who is correct? 
Correct Answer Text: Neither is correct 
Wrong Answer Text: Only Katie",1907
4139,"When finding the gradient from the equation of a line in the form ax + by = c, believes b/a is the gradient","Question Text: A line has equation \( 5 x+3 y=7 \)
What is its gradient? 
Correct Answer Text: \( -\frac{5}{3} \) 
Wrong Answer Text: \( \frac{3}{5} \)",1896
4140,When solving an equation forgets to eliminate the coefficient in front of the variable in the last step,"Question Text: A line has equation \( 5 x+3 y=7 \)
What is its gradient? 
Correct Answer Text: \( -\frac{5}{3} \) 
Wrong Answer Text: \( -5 \)",1417
4141,"Believes that for a line written in the form ax + by = c, a is the gradient","Question Text: A line has equation \( 5 x+3 y=7 \)
What is its gradient? 
Correct Answer Text: \( -\frac{5}{3} \) 
Wrong Answer Text: \( 5 \)",130
4142,Does not realise that the area of a triangle is half the area of the contatining rectangle,"Question Text: What is the area of this shape? ![Purple, right angled triangle on square grid with area of 5 square units. Base length 5 and perpendicular height 2]() 
Correct Answer Text: \( 5 \) 
Wrong Answer Text: \( 6 \)",1292
4143,Does not realise that the area of a triangle is half the area of the contatining rectangle,"Question Text: What is the area of this shape? ![Purple, right angled triangle on square grid with area of 5 square units. Base length 5 and perpendicular height 2]() 
Correct Answer Text: \( 5 \) 
Wrong Answer Text: Not enough information",1292
4144,"When calculating perimeter, only adds the marked lengths","Question Text: The perimeter of this rectangle is \( 5.6 \mathrm{~cm} \).

What is the length of the side marked with a star? ![Rectangle with base length labelled 1.02 cm and side length labelled with a gold star]() 
Correct Answer Text: \( 1.78 \mathrm{~cm} \) 
Wrong Answer Text: \( 4.58 \mathrm{~cm} \)",1706
4145,"When doing operations with decimals, ignores significant zeros after the decimal point","Question Text: The perimeter of this rectangle is \( 5.6 \mathrm{~cm} \).

What is the length of the side marked with a star? ![Rectangle with base length labelled 1.02 cm and side length labelled with a gold star]() 
Correct Answer Text: \( 1.78 \mathrm{~cm} \) 
Wrong Answer Text: \( 1.6 \mathrm{~cm} \)",567
4146,Does not copy a given method accurately,"Question Text: This is how Teddy calculates the answer to \( 600 \div 25 \) mentally ""There are \( 4 \) lots of \( 25 \) in 100. I then multiplied \( 4 \) by \( 6 \) to get \( 24 \). So \( 600 \) divided by \( 25 \) is \( 24 \)"" Teddy uses the same method to calculate \( 800 \div 25 \). Which of the following shows how he would do this? 
Correct Answer Text: There are \( 4 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 4 \) by \( 8 \) 
So the answer is \( 32 \) 
Wrong Answer Text: There are \( 4 \) lots of \( 25 \) in \( 100 \) 
Then I multiplied \( 8 \) by \( 6 \) 
So the answer is \( 48 \)",2438
4147,Rounds up instead of down,"Question Text: Two different numbers are equal to \( 4.37 \) to two decimal places.
The numbers could be.... 
Correct Answer Text: \( 4.3708 \)
and
\( 4.3651 \) 
Wrong Answer Text: \[
4.3728
\]
and
\[
4.3628
\]",1988
4148,Rounds down instead of up,"Question Text: Two different numbers are equal to \( 4.37 \) to two decimal places.
The numbers could be.... 
Correct Answer Text: \( 4.3708 \)
and
\( 4.3651 \) 
Wrong Answer Text: \[
4.3751
\]
and
\[
4.3659
\]",1379
4149,Does not understand that shapes are congruent if they have the same size and shape,"Question Text: Tom and Katie are discussing congruent shapes.
Tom says you can reflect a shape and it will still be congruent to the original.

Katie says you can rotate a shape and it will still be congruent to the original.
Who is correct? 
Correct Answer Text: Both Tom and Katie 
Wrong Answer Text: Only
Tom",1318
4150,Does not understand that shapes are congruent if they have the same size and shape,"Question Text: Tom and Katie are discussing congruent shapes.
Tom says you can reflect a shape and it will still be congruent to the original.

Katie says you can rotate a shape and it will still be congruent to the original.
Who is correct? 
Correct Answer Text: Both Tom and Katie 
Wrong Answer Text: Only
Katie",1318
4151,Does not understand that shapes are congruent if they have the same size and shape,"Question Text: Tom and Katie are discussing congruent shapes.
Tom says you can reflect a shape and it will still be congruent to the original.

Katie says you can rotate a shape and it will still be congruent to the original.
Who is correct? 
Correct Answer Text: Both Tom and Katie 
Wrong Answer Text: Neither is correct",1318
4152,Rounds to the wrong degree of accuracy (rounds too little),"Question Text: \[
34590.8549
\]
What is this number rounded to the nearest \( 100 \) ? 
Correct Answer Text: \( 34600 \) 
Wrong Answer Text: \( 34590 \)",1248
4153,Rounds down instead of up,"Question Text: \[
34590.8549
\]
What is this number rounded to the nearest \( 100 \) ? 
Correct Answer Text: \( 34600 \) 
Wrong Answer Text: \( 34500 \)",1379
4154,Rounds to the wrong degree of accuracy (rounds too much),"Question Text: \[
34590.8549
\]
What is this number rounded to the nearest \( 100 \) ? 
Correct Answer Text: \( 34600 \) 
Wrong Answer Text: \( 35000 \)",2392
4155,Multiplies by 10 instead of 100 when converting decimal to percentage,"Question Text: How do you write \( 4.6 \) as a percentage? 
Correct Answer Text: \( 460 \% \) 
Wrong Answer Text: \( 46 \% \)",61
4156,Divides instead of multiplies when converting a decimal to a percentage,"Question Text: How do you write \( 4.6 \) as a percentage? 
Correct Answer Text: \( 460 \% \) 
Wrong Answer Text: \( 0.046 \% \)",1973
4157,Thinks you need to just add a % sign to a decimal to convert to a percentage,"Question Text: How do you write \( 4.6 \) as a percentage? 
Correct Answer Text: \( 460 \% \) 
Wrong Answer Text: \( 4.6 \% \)",1965
4158,Believes every number is the mode when you have data with no mode,"Question Text: What is the mode of the following numbers?
\[
0,0,2,2
\] 
Correct Answer Text: There is no mode 
Wrong Answer Text: \( 0 \) and \( 2 \)",2152
4159,Believes you can only have one mode,"Question Text: What is the mode of the following numbers?
\[
0,0,2,2
\] 
Correct Answer Text: There is no mode 
Wrong Answer Text: \( 2 \)",375
4160,Finds the median instead of the mode,"Question Text: What is the mode of the following numbers?
\[
0,0,2,2
\] 
Correct Answer Text: There is no mode 
Wrong Answer Text: \( 1 \)",1264
4161,Believes interior angles are outside a shape,"Question Text: The diagram shows a regular hexagon and a square.
What is the size of angle \( a \) ? ![A regular hexagon and square, joined on one side, with the angle between them labelled a. Not to scale]() 
Correct Answer Text: \( 150^{\circ} \) 
Wrong Answer Text: \( 210^{\circ} \)",1550
4162,"In a worded problem, does not complete all calculations","Question Text: A magazine costs \( £ 2.70 \).

Isaac pays for it with a \( £ 5 \) note.

How much change should he receive? 
Correct Answer Text: \( £ 2.30 \) 
Wrong Answer Text: \( £ 2.70 \)",791
4163,Ends up £1 out when dealing with change in money,"Question Text: A magazine costs \( £ 2.70 \).

Isaac pays for it with a \( £ 5 \) note.

How much change should he receive? 
Correct Answer Text: \( £ 2.30 \) 
Wrong Answer Text: \( £ 3.30 \)",730
4164,Adds rather than subtracts when answering worded problems,"Question Text: A magazine costs \( £ 2.70 \).

Isaac pays for it with a \( £ 5 \) note.

How much change should he receive? 
Correct Answer Text: \( £ 2.30 \) 
Wrong Answer Text: \( £ 7.70 \)",1773
4165,Believes isosceles triangles cannot have right angles,"Question Text: A triangle has the following angles: \( 90^{\degree}, 45^{\degree}, 45^{\degree} \) Statement 1. It must be a right angled triangle 
Statement 2. It must be an isosceles triangle
Which is true? 
Correct Answer Text: Both statements 
Wrong Answer Text: Statement \( 1 \)",2189
4166,Does not know that a right angle is 90 degrees,"Question Text: A triangle has the following angles: \( 90^{\degree}, 45^{\degree}, 45^{\degree} \) Statement 1. It must be a right angled triangle 
Statement 2. It must be an isosceles triangle
Which is true? 
Correct Answer Text: Both statements 
Wrong Answer Text: Statement \( 2 \)",219
4167,Believes there are 100 degrees in a full turn,"Question Text: How many degrees are there in three-quarters of a turn? 
Correct Answer Text: \( 270\degree \) 
Wrong Answer Text: \( 75\degree \)",2
4168,Finds the unit fraction when asked to find a non-unit fraction of an amount,"Question Text: How many degrees are there in three-quarters of a turn? 
Correct Answer Text: \( 270\degree \) 
Wrong Answer Text: \( 90\degree \)",1057
4169,Fails to reflect across mirror line,"Question Text: The triangle is reflected in the dashed line.
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=x drawn and a triangle with the coordinates (2,1) (4,1) and (3,2). P is the point (3,2)]() 
Correct Answer Text: \( (2,3) \) 
Wrong Answer Text: \( (2,2) \)",1990
4170,Counts the squares rather than the diagonals when reflecting in y=x or y=-x ,"Question Text: The triangle is reflected in the dashed line.
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=x drawn and a triangle with the coordinates (2,1) (4,1) and (3,2). P is the point (3,2)]() 
Correct Answer Text: \( (2,3) \) 
Wrong Answer Text: \( (1,2) \)",563
4171,Counts the squares rather than the diagonals when reflecting in y=x or y=-x ,"Question Text: The triangle is reflected in the dashed line.
What are the new coordinates of point \( \mathrm{P} \) ? ![A coordinate grid with the reflection line y=x drawn and a triangle with the coordinates (2,1) (4,1) and (3,2). P is the point (3,2)]() 
Correct Answer Text: \( (2,3) \) 
Wrong Answer Text: \( (3,4) \)",563
